,X,Y,Labels,Filename,Loss
83,-1.933610916,-9.278074265,15,/content/AEC-Demo/camera/2007181000000556_15-floors.jpg,7.60
92,3.679297924,-11.02870178,15,/content/AEC-Demo/camera/2007181130000565_15-floors.jpg,7.18
85,-0.095428407,-13.01868153,15,/content/AEC-Demo/camera/2007181020000558_15-floors.jpg,6.35
63,-5.843110085,-2.089133501,6,/content/AEC-Demo/camera/1911181145005508_6-floors.jpg,5.29
91,2.142246485,-11.40845585,15,/content/AEC-Demo/camera/2007181120000564_15-floors.jpg,5.13
86,0.077514917,-10.72093678,15,/content/AEC-Demo/camera/2007181030000559_15-floors.jpg,4.47
95,-0.584022641,-10.29238033,15,/content/AEC-Demo/camera/2007181200000568_15-floors.jpg,4.31
87,3.426858902,-11.58123398,15,/content/AEC-Demo/camera/2007181040000560_15-floors.jpg,4.20
81,-4.84606266,-13.23675823,15,/content/AEC-Demo/camera/2007161810000434_15-floors.jpg,4.18
84,2.049634933,-11.08737373,15,/content/AEC-Demo/camera/2007181010000557_15-floors.jpg,4.13
101,-0.12708196,-12.90550423,15,/content/AEC-Demo/camera/2007181810000605_15-floors.jpg,3.84
73,-5.513209343,-13.89158249,12,/content/AEC-Demo/camera/2006181115008473_12-floors.jpg,3.80
93,-5.393925667,-15.33206558,15,/content/AEC-Demo/camera/2007181140000566_15-floors.jpg,3.79
64,-1.805503368,2.620090723,6,/content/AEC-Demo/camera/1911181200005509_6-floors.jpg,3.76
94,3.970532894,-11.55594158,15,/content/AEC-Demo/camera/2007181150000567_15-floors.jpg,3.54
90,0.92765063,-10.56019878,15,/content/AEC-Demo/camera/2007181110000563_15-floors.jpg,3.50
74,-6.176477909,-15.5404644,12,/content/AEC-Demo/camera/2006181130008474_12-floors.jpg,3.46
70,-2.033427,-12.56468296,12,/content/AEC-Demo/camera/2006181030008470_12-floors.jpg,3.43
25,-2.210751772,2.687926769,0,/content/AEC-Demo/camera/1812260715005362_0-floor.jpg,3.35
96,-4.848210335,-15.5964632,15,/content/AEC-Demo/camera/2007181210000569_15-floors.jpg,3.34